1	2.563508749715e+00	4.163661337406e-03	-6.688811123321e-03	2.832648030087e+00	6.909141023986e+00	0.000000000000e+00	0.000000000000e+00	5.040615579984e+03	1.219688969372e+04
1	2.563508749715e+00	4.163661337406e-03	-6.688811123321e-03	3.970363401761e+00	9.684150348862e+00	1.137715371674e+00	2.775009324875e+00	5.040615579984e+03	1.219688969372e+04
0	2.563508749715e+00	4.163661337406e-03	-6.688811123321e-03	3.970363401761e+00	9.684150348862e+00	0.000000000000e+00	0.000000000000e+00	5.040615579984e+03	1.219688969372e+04
0	5.431197149361e+00	9.183884783051e-01	-1.450539626040e-01	2.432579232660e-01	-7.269763899609e-01	0.000000000000e+00	0.000000000000e+00	5.040615579984e+03	1.219688969372e+04
-1	5.431197149361e+00	9.183884783051e-01	-1.450539626040e-01	2.432579232660e-01	-7.269763899609e-01	0.000000000000e+00	0.000000000000e+00	5.040615579984e+03	1.219688969372e+04
-1	5.431197149361e+00	9.183884783051e-01	-1.450539626040e-01	-3.279820640577e-02	-1.951334725237e-01	-2.760561296718e-01	5.318429174372e-01	0.000000000000e+00	1.219688969372e+04
5	5.431197149361e+00	9.183884786924e-01	-1.450539624293e-01	-3.279820640577e-02	-1.951334725237e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.219688969372e+04
5	5.431197149361e+00	9.183884786924e-01	-1.450539624293e-01	-3.279820640577e-02	-1.951334725237e-01	0.000000000000e+00	0.000000000000e+00	1.186716196693e+04	1.219688969372e+04
0	5.431197149361e+00	9.183884786924e-01	-1.450539624293e-01	-3.279820640577e-02	-1.951334725237e-01	0.000000000000e+00	0.000000000000e+00	1.186716196693e+04	1.219688969372e+04
0	7.533950831909e+00	8.911548806552e-01	1.812222216040e-01	1.221448226654e-01	-2.399581025999e-02	0.000000000000e+00	0.000000000000e+00	1.186716196693e+04	1.219688969372e+04
-1	7.533950831909e+00	8.911548806552e-01	1.812222216040e-01	1.221448226654e-01	-2.399581025999e-02	0.000000000000e+00	0.000000000000e+00	1.186716196693e+04	1.219688969372e+04
-1	7.533950831909e+00	8.911548806552e-01	1.812222216040e-01	1.225349159575e-01	-2.491658559821e-02	3.900932920816e-04	-9.207753382193e-04	1.185553055102e+04	1.219688969372e+04
0	7.533950831909e+00	8.911548806552e-01	1.812222216040e-01	1.225349159575e-01	-2.491658559821e-02	0.000000000000e+00	0.000000000000e+00	1.185553055102e+04	1.219688969372e+04
0	1.120615908288e+01	9.858946524467e-01	-4.361023112140e-03	2.120982459612e+00	-6.813140554335e-01	0.000000000000e+00	0.000000000000e+00	1.185553055102e+04	1.219688969372e+04
-1	1.120615908288e+01	9.858946524467e-01	-4.361023112140e-03	2.120982459612e+00	-6.813140554335e-01	0.000000000000e+00	0.000000000000e+00	1.185553055102e+04	1.219688969372e+04
-1	1.120615908288e+01	9.858946524467e-01	-4.361023112140e-03	1.450787373053e+00	-6.501265114202e-01	-6.701950865584e-01	3.118754401327e-02	4.882459076736e+03	1.219688969372e+04
2	1.120615908288e+01	9.858946524467e-01	-4.361023112140e-03	1.450787373053e+00	-6.501265114202e-01	0.000000000000e+00	0.000000000000e+00	4.882459076736e+03	0.000000000000e+00
3	1.268683706359e+01	9.923382959102e-01	-1.638017040491e-03	-5.481973468286e-01	-1.502467716138e+00	0.000000000000e+00	0.000000000000e+00	4.882459076736e+03	0.000000000000e+00
-1	1.268683706359e+01	9.923382959102e-01	-1.638017040491e-03	-5.481973468286e-01	-1.502467716138e+00	0.000000000000e+00	0.000000000000e+00	4.882459076736e+03	0.000000000000e+00
-1	1.268683706359e+01	9.923382959102e-01	-1.638017040491e-03	-4.118002881187e-01	-2.645792661773e+00	1.363970587099e-01	-1.143324945634e+00	4.375770416250e+01	0.000000000000e+00
0	1.268683706359e+01	9.923382959102e-01	-1.638017040491e-03	-4.118002881187e-01	-2.645792661773e+00	0.000000000000e+00	0.000000000000e+00	4.375770416250e+01	0.000000000000e+00
0	1.331229645326e+01	-2.684118647536e-02	7.713525492249e-03	5.054983977195e+00	9.627014037821e+00	0.000000000000e+00	0.000000000000e+00	4.375770416250e+01	0.000000000000e+00
4	1.331229645326e+01	-2.684118647536e-02	7.713525492249e-03	5.054983977195e+00	9.627014037821e+00	0.000000000000e+00	0.000000000000e+00	4.375770416250e+01	0.000000000000e+00
